sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,important_dim,unit_coefficients
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[0.0],[11.473796844482422],5.079543942178121e-05,2.7163166666666668e-05,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[1.0],[12.166988372802734],3.5847911418091e-05,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[2.0],[12.860180854797363],3.196386919104992e-05,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[3.0],[13.553372383117676],3.8459049692061086e-05,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[4.0],[14.246564865112305],3.447863309789625e-05,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[5.0],[14.939756393432617],5.9931960885706715e-05,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]","[6.0, 7.0]","[15.632948875427246, 16.326141357421875]",5.8218419932810744e-05,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[8.0],[17.019332885742188],0.00010649851655480985,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[9.0],[17.7125244140625],0.0001114897372900851,,"43,42,15,39,17,40,38",
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9001798629760742, -0.42273902893066406, -1.7062973976135254, -1.7840445041656494, 1.3244184255599976, 0.7525466680526733, -0.7048376202583313, -0.7952333092689514, 0.19379493594169617, -1.0375685691833496, -0.4203309416770935, -1.3114970922470093, 0.9632158279418945, -2.624704122543335, 2.591688871383667, 2.1015212535858154, 2.383988618850708, 1.8990044593811035, -2.7252378463745117, -0.4183030128479004, -1.1850306987762451, -2.0389764308929443, -1.4602344036102295, -0.6772095561027527, 1.4175022840499878, 0.32210174202919006, -2.9475836753845215, -1.2893550395965576, 1.6952942609786987, -0.16305413842201233, -1.663851022720337, -0.07540607452392578, -1.3007519245147705, 1.2923390865325928, 1.222014307975769, -0.2519710958003998, -2.7525951862335205, -1.4740571975708008, 1.4597570896148682, 1.0737992525100708, 2.1868386268615723, 0.5923714637756348, 2.9734296798706055, 1.912967324256897, 1.3930867910385132, 2.011430501937866, -1.0445059537887573, 1.5953919887542725, 0.9250436425209045, -0.7078464031219482, 1.8550589084625244, -0.8234473466873169, 0.17735862731933594, 0.31393545866012573, 0.8039538860321045, 1.2206370830535889, 1.3407185077667236, -1.789580225944519, 0.49021077156066895, -0.25042614340782166, -0.569114089012146, 0.9251679182052612, -2.4610142707824707, -2.1780152320861816]",[10.0],[18.405715942382812],0.00011166204960593416,,"43,42,15,39,17,40,38",
