sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[0.0, 0.25, 0.5, 0.75]","[9.931015968322754, 10.1414155960083, 10.351815223693848, 10.562214851379395]",9.816609034334194,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[1.0, 1.25]","[10.772613525390625, 10.983013153076172]",9.8097686653437,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[1.5, 1.75, 2.0, 2.25]","[11.193413734436035, 11.403812408447266, 11.614212036132812, 11.82461166381836]",10.519290988403815,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[2.5, 2.75, 3.0]","[12.035012245178223, 12.245410919189453, 12.455811500549316]",10.402459231596788,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[3.25, 3.5, 3.75, 4.0, 4.25, 4.5, 4.75]","[12.666210174560547, 12.876609802246094, 13.08700942993164, 13.297409057617188, 13.507808685302734, 13.718208312988281, 13.928607940673828]",10.216595586585772,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,[5.0],[14.139007568359375],9.642681200425049,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[5.25, 5.5, 5.75]","[14.349407196044922, 14.559806823730469, 14.770206451416016]",10.21660560546505,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[6.0, 6.25, 6.5, 6.75, 7.0, 7.25, 7.5]","[14.980606079101562, 15.19100570678711, 15.401405334472656, 15.611804962158203, 15.82220458984375, 16.032604217529297, 16.243003845214844]",8.91614191029746,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.7867634296417236, 1.329901099205017, 0.6123850345611572, 1.7326874732971191, -0.458946168422699, -0.8052532076835632, 0.18208622932434082, -1.1106748580932617, 0.4577464759349823, -0.9886948466300964, -0.6471076011657715, -2.1722893714904785, -0.949745774269104, -0.2987263798713684, 1.4325733184814453, 1.0185762643814087, 0.7027376890182495, -0.5561795830726624, 0.022259175777435303, 3.0675196647644043, 0.14539071917533875, 1.3066871166229248, -0.35237571597099304, 0.755084753036499, 0.4650377631187439, -0.6789369583129883, 2.0258357524871826, 1.0312495231628418, -0.575925350189209, 3.1390881538391113, 0.3063540458679199, 2.2355117797851562, 0.5744835734367371, -1.3844339847564697, 0.5601170063018799, -1.4448134899139404, 1.5084574222564697, 1.2174289226531982, -0.785409152507782, 0.5108788013458252, -1.3854731321334839, 1.975502848625183, 0.2996349036693573, -2.361245632171631, 1.8415993452072144, 0.9308772087097168, 1.4583061933517456, 1.4479409456253052, 2.5738673210144043, 0.37726402282714844, 0.9700480699539185, -1.0723096132278442, -0.7273590564727783, 0.9922990798950195, 1.5497500896453857, -1.473589539527893, -0.8030726313591003, -1.826864242553711, 1.4289765357971191, 1.0732988119125366, -1.2709217071533203, 1.4569787979125977, 0.11711286008358002, 1.0908005237579346]",[0.0],[10.77511215209961],10.135516938870058,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.7867634296417236, 1.329901099205017, 0.6123850345611572, 1.7326874732971191, -0.458946168422699, -0.8052532076835632, 0.18208622932434082, -1.1106748580932617, 0.4577464759349823, -0.9886948466300964, -0.6471076011657715, -2.1722893714904785, -0.949745774269104, -0.2987263798713684, 1.4325733184814453, 1.0185762643814087, 0.7027376890182495, -0.5561795830726624, 0.022259175777435303, 3.0675196647644043, 0.14539071917533875, 1.3066871166229248, -0.35237571597099304, 0.755084753036499, 0.4650377631187439, -0.6789369583129883, 2.0258357524871826, 1.0312495231628418, -0.575925350189209, 3.1390881538391113, 0.3063540458679199, 2.2355117797851562, 0.5744835734367371, -1.3844339847564697, 0.5601170063018799, -1.4448134899139404, 1.5084574222564697, 1.2174289226531982, -0.785409152507782, 0.5108788013458252, -1.3854731321334839, 1.975502848625183, 0.2996349036693573, -2.361245632171631, 1.8415993452072144, 0.9308772087097168, 1.4583061933517456, 1.4479409456253052, 2.5738673210144043, 0.37726402282714844, 0.9700480699539185, -1.0723096132278442, -0.7273590564727783, 0.9922990798950195, 1.5497500896453857, -1.473589539527893, -0.8030726313591003, -1.826864242553711, 1.4289765357971191, 1.0732988119125366, -1.2709217071533203, 1.4569787979125977, 0.11711286008358002, 1.0908005237579346]","[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75]","[10.985511779785156, 11.195911407470703, 11.40631103515625, 11.616710662841797, 11.827110290527344, 12.03750991821289, 12.247909545898438, 12.458309173583984, 12.668708801269531, 12.879108428955078, 13.089508056640625]",10.364865144523277,,
