sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,true,,"[0.0, 0.5, 1.0, 1.5]","[10.874382972717285, 11.939276695251465, 13.004170417785645, 14.069064140319824]",7.670513997431665e-05,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,true,,[2.0],[15.133957862854004],7.651046498054475e-05,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,true,,"[2.5, 3.0, 3.5, 4.0]","[16.1988525390625, 17.263744354248047, 18.32863998413086, 19.393531799316406]",3.587194232420199e-05,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,true,,"[4.5, 5.0, 5.5, 6.0]","[20.45842742919922, 21.523319244384766, 22.588214874267578, 23.653106689453125]",3.663056385100103e-05,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,true,,"[6.5, 7.0, 7.5, 8.0]","[24.718002319335938, 25.782894134521484, 26.847789764404297, 27.912681579589844]",3.6408962962962965e-05,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9546387195587158, -0.20597532391548157, -3.4744200706481934, -2.4035425186157227, 1.1899464130401611, -0.5964815616607666, -0.7267180681228638, -1.3818250894546509, -0.26431766152381897, -0.4162149429321289, -0.3577418327331543, -1.8483816385269165, 1.3268392086029053, -1.7916878461837769, 2.395240306854248, 2.4703614711761475, 2.5964510440826416, 1.5849229097366333, -1.216970682144165, -0.9776699542999268, -0.5981062650680542, -1.3456958532333374, -0.48857802152633667, -1.532776117324829, 1.0626598596572876, 1.406334400177002, -1.9463578462600708, -1.155916452407837, 1.6826072931289673, 0.8921889066696167, -2.48604679107666, -0.04504832625389099, -1.1457267999649048, 1.4254487752914429, 1.5219154357910156, -0.06441160291433334, -2.2220444679260254, -1.3482767343521118, 1.1400455236434937, 1.388978362083435, 2.15226674079895, 0.613906741142273, 3.0668702125549316, 2.1981585025787354, 1.685868501663208, 2.2834084033966064, -1.6413981914520264, 1.6198604106903076, 0.5756365060806274, -0.10223305225372314, 2.0569982528686523, -0.8882666826248169, -0.9441814422607422, -0.15862300992012024, -0.04177433252334595, 1.264888048171997, 0.9614160656929016, -1.3125865459442139, -0.3487401008605957, -0.7051706314086914, -0.2034069299697876, 1.8503373861312866, -3.0779755115509033, -1.086172103881836]","[0.0, 0.5]","[11.45626449584961, 12.521158218383789]",7.830164073268046e-05,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9546387195587158, -0.20597532391548157, -3.4744200706481934, -2.4035425186157227, 1.1899464130401611, -0.5964815616607666, -0.7267180681228638, -1.3818250894546509, -0.26431766152381897, -0.4162149429321289, -0.3577418327331543, -1.8483816385269165, 1.3268392086029053, -1.7916878461837769, 2.395240306854248, 2.4703614711761475, 2.5964510440826416, 1.5849229097366333, -1.216970682144165, -0.9776699542999268, -0.5981062650680542, -1.3456958532333374, -0.48857802152633667, -1.532776117324829, 1.0626598596572876, 1.406334400177002, -1.9463578462600708, -1.155916452407837, 1.6826072931289673, 0.8921889066696167, -2.48604679107666, -0.04504832625389099, -1.1457267999649048, 1.4254487752914429, 1.5219154357910156, -0.06441160291433334, -2.2220444679260254, -1.3482767343521118, 1.1400455236434937, 1.388978362083435, 2.15226674079895, 0.613906741142273, 3.0668702125549316, 2.1981585025787354, 1.685868501663208, 2.2834084033966064, -1.6413981914520264, 1.6198604106903076, 0.5756365060806274, -0.10223305225372314, 2.0569982528686523, -0.8882666826248169, -0.9441814422607422, -0.15862300992012024, -0.04177433252334595, 1.264888048171997, 0.9614160656929016, -1.3125865459442139, -0.3487401008605957, -0.7051706314086914, -0.2034069299697876, 1.8503373861312866, -3.0779755115509033, -1.086172103881836]",[1.0],[13.586051940917969],5.663274237990734e-05,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9546387195587158, -0.20597532391548157, -3.4744200706481934, -2.4035425186157227, 1.1899464130401611, -0.5964815616607666, -0.7267180681228638, -1.3818250894546509, -0.26431766152381897, -0.4162149429321289, -0.3577418327331543, -1.8483816385269165, 1.3268392086029053, -1.7916878461837769, 2.395240306854248, 2.4703614711761475, 2.5964510440826416, 1.5849229097366333, -1.216970682144165, -0.9776699542999268, -0.5981062650680542, -1.3456958532333374, -0.48857802152633667, -1.532776117324829, 1.0626598596572876, 1.406334400177002, -1.9463578462600708, -1.155916452407837, 1.6826072931289673, 0.8921889066696167, -2.48604679107666, -0.04504832625389099, -1.1457267999649048, 1.4254487752914429, 1.5219154357910156, -0.06441160291433334, -2.2220444679260254, -1.3482767343521118, 1.1400455236434937, 1.388978362083435, 2.15226674079895, 0.613906741142273, 3.0668702125549316, 2.1981585025787354, 1.685868501663208, 2.2834084033966064, -1.6413981914520264, 1.6198604106903076, 0.5756365060806274, -0.10223305225372314, 2.0569982528686523, -0.8882666826248169, -0.9441814422607422, -0.15862300992012024, -0.04177433252334595, 1.264888048171997, 0.9614160656929016, -1.3125865459442139, -0.3487401008605957, -0.7051706314086914, -0.2034069299697876, 1.8503373861312866, -3.0779755115509033, -1.086172103881836]","[1.5, 2.0, 2.5, 3.0, 3.5]","[14.650945663452148, 15.715839385986328, 16.780733108520508, 17.845626831054688, 18.9105224609375]",8.817443215686274e-05,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9546387195587158, -0.20597532391548157, -3.4744200706481934, -2.4035425186157227, 1.1899464130401611, -0.5964815616607666, -0.7267180681228638, -1.3818250894546509, -0.26431766152381897, -0.4162149429321289, -0.3577418327331543, -1.8483816385269165, 1.3268392086029053, -1.7916878461837769, 2.395240306854248, 2.4703614711761475, 2.5964510440826416, 1.5849229097366333, -1.216970682144165, -0.9776699542999268, -0.5981062650680542, -1.3456958532333374, -0.48857802152633667, -1.532776117324829, 1.0626598596572876, 1.406334400177002, -1.9463578462600708, -1.155916452407837, 1.6826072931289673, 0.8921889066696167, -2.48604679107666, -0.04504832625389099, -1.1457267999649048, 1.4254487752914429, 1.5219154357910156, -0.06441160291433334, -2.2220444679260254, -1.3482767343521118, 1.1400455236434937, 1.388978362083435, 2.15226674079895, 0.613906741142273, 3.0668702125549316, 2.1981585025787354, 1.685868501663208, 2.2834084033966064, -1.6413981914520264, 1.6198604106903076, 0.5756365060806274, -0.10223305225372314, 2.0569982528686523, -0.8882666826248169, -0.9441814422607422, -0.15862300992012024, -0.04177433252334595, 1.264888048171997, 0.9614160656929016, -1.3125865459442139, -0.3487401008605957, -0.7051706314086914, -0.2034069299697876, 1.8503373861312866, -3.0779755115509033, -1.086172103881836]","[4.0, 4.5]","[19.975414276123047, 21.040306091308594]",3.2053402171643345e-05,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,,,"[-1.9546387195587158, -0.20597532391548157, -3.4744200706481934, -2.4035425186157227, 1.1899464130401611, -0.5964815616607666, -0.7267180681228638, -1.3818250894546509, -0.26431766152381897, -0.4162149429321289, -0.3577418327331543, -1.8483816385269165, 1.3268392086029053, -1.7916878461837769, 2.395240306854248, 2.4703614711761475, 2.5964510440826416, 1.5849229097366333, -1.216970682144165, -0.9776699542999268, -0.5981062650680542, -1.3456958532333374, -0.48857802152633667, -1.532776117324829, 1.0626598596572876, 1.406334400177002, -1.9463578462600708, -1.155916452407837, 1.6826072931289673, 0.8921889066696167, -2.48604679107666, -0.04504832625389099, -1.1457267999649048, 1.4254487752914429, 1.5219154357910156, -0.06441160291433334, -2.2220444679260254, -1.3482767343521118, 1.1400455236434937, 1.388978362083435, 2.15226674079895, 0.613906741142273, 3.0668702125549316, 2.1981585025787354, 1.685868501663208, 2.2834084033966064, -1.6413981914520264, 1.6198604106903076, 0.5756365060806274, -0.10223305225372314, 2.0569982528686523, -0.8882666826248169, -0.9441814422607422, -0.15862300992012024, -0.04177433252334595, 1.264888048171997, 0.9614160656929016, -1.3125865459442139, -0.3487401008605957, -0.7051706314086914, -0.2034069299697876, 1.8503373861312866, -3.0779755115509033, -1.086172103881836]","[5.0, 7.0, 7.5]","[22.105201721191406, 26.364776611328125, 27.429668426513672]",8.955821339474188e-05,,
