sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]","[0.0, 0.5, 1.0, 1.5, 2.0]","[10.045058250427246, 10.679594039916992, 11.314129829406738, 11.948665618896484, 12.583200454711914]",10.11656673154564,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]",[2.5],[13.217737197875977],9.826855892745723,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]",[3.0],[13.852272033691406],9.833064603505973,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]","[3.5, 4.0, 6.0, 6.5, 7.0]","[14.486808776855469, 15.121343612670898, 17.659486770629883, 18.294021606445312, 18.928558349609375]",9.832956158700398,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]",[4.5],[15.755878448486328],9.8265167569431,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]","[5.0, 5.5]","[16.39041519165039, 17.02495002746582]",9.82654027292243,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]","[7.5, 8.0, 8.5]","[19.563093185424805, 20.197629928588867, 20.832164764404297]",9.826484167376982,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.520546555519104, -1.1302987337112427, -1.468634009361267, 0.506361186504364, 1.2144362926483154, 1.0243382453918457, -0.8009902238845825, 0.7608728408813477, -0.7121990323066711, -0.5284126996994019, -1.2929567098617554, 0.15010325610637665, 0.6776546835899353, 1.333664894104004, 2.919843912124634, 0.43355274200439453, 2.2075326442718506, 1.6783860921859741, -0.7765551805496216, 0.4959750473499298, 0.32830578088760376, -2.6113266944885254, -0.6558628082275391, -0.03885847330093384, -1.0720316171646118, 1.2345112562179565, -1.4545356035232544, -2.3977713584899902, 1.5888004302978516, -0.011982589960098267, 1.2680972814559937, 0.5602194666862488, 0.5020179748535156, -0.29872411489486694, 2.346468448638916, 0.5477570295333862, -0.40461963415145874, 0.3172128200531006, 1.451011300086975, -0.13320809602737427, 1.0803775787353516, -1.606746792793274, 1.709921956062317, 1.150926113128662, 0.8676863312721252, -0.35289129614830017, -0.11484375596046448, 1.5255587100982666, -0.494895875453949, 1.0102752447128296, 0.46423768997192383, 0.56279456615448, -1.0087286233901978, 1.6929528713226318, 0.396794855594635, 1.1511626243591309, -0.5775726437568665, -0.23003250360488892, 1.5657546520233154, 2.572211503982544, 1.0136040449142456, -1.2968004941940308, -1.7768421173095703, -1.0065841674804688]","[9.0, 9.5, 10.0]","[21.46670150756836, 22.10123634338379, 22.73577117919922]",9.826505773624456,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.411706805229187, -0.9181187748908997, -0.6352518200874329, -1.0520541667938232, 1.4407845735549927, -0.07295043766498566, -1.9407328367233276, 0.040776681154966354, 0.46413132548332214, -0.4258948564529419, 0.24485307931900024, 1.4947006702423096, 1.938260555267334, -0.1869494915008545, 3.2033073902130127, 0.09067440032958984, 2.2810239791870117, 2.0457587242126465, -0.7913140654563904, 1.1848102807998657, 0.3247717618942261, -1.1642720699310303, -0.8285120725631714, -0.7867865562438965, -1.8511674404144287, 1.2225396633148193, -0.9313300848007202, 1.3333029747009277, 0.7882962226867676, 0.39359158277511597, -0.32331210374832153, -0.40981292724609375, -1.2960360050201416, 0.9951949119567871, 2.529628276824951, -0.6289419531822205, -1.548337697982788, -0.7434310913085938, 0.817762017250061, 0.024837613105773926, 0.17338821291923523, 0.15443135797977448, 2.1024577617645264, 1.6412417888641357, 0.9989898800849915, 0.8851860761642456, 0.005321770906448364, 1.2672488689422607, 1.4355751276016235, 0.19255705177783966, -0.2817494571208954, 0.2873063087463379, -1.4263602495193481, 1.7313836812973022, -0.5098291635513306, 1.8184279203414917, -0.1793937385082245, 0.8347973227500916, 1.125882625579834, -1.0744587182998657, 1.0413284301757812, -0.542500376701355, -0.23272907733917236, -0.25973591208457947]",[0.0],[9.514853477478027],10.190991926778294,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.411706805229187, -0.9181187748908997, -0.6352518200874329, -1.0520541667938232, 1.4407845735549927, -0.07295043766498566, -1.9407328367233276, 0.040776681154966354, 0.46413132548332214, -0.4258948564529419, 0.24485307931900024, 1.4947006702423096, 1.938260555267334, -0.1869494915008545, 3.2033073902130127, 0.09067440032958984, 2.2810239791870117, 2.0457587242126465, -0.7913140654563904, 1.1848102807998657, 0.3247717618942261, -1.1642720699310303, -0.8285120725631714, -0.7867865562438965, -1.8511674404144287, 1.2225396633148193, -0.9313300848007202, 1.3333029747009277, 0.7882962226867676, 0.39359158277511597, -0.32331210374832153, -0.40981292724609375, -1.2960360050201416, 0.9951949119567871, 2.529628276824951, -0.6289419531822205, -1.548337697982788, -0.7434310913085938, 0.817762017250061, 0.024837613105773926, 0.17338821291923523, 0.15443135797977448, 2.1024577617645264, 1.6412417888641357, 0.9989898800849915, 0.8851860761642456, 0.005321770906448364, 1.2672488689422607, 1.4355751276016235, 0.19255705177783966, -0.2817494571208954, 0.2873063087463379, -1.4263602495193481, 1.7313836812973022, -0.5098291635513306, 1.8184279203414917, -0.1793937385082245, 0.8347973227500916, 1.125882625579834, -1.0744587182998657, 1.0413284301757812, -0.542500376701355, -0.23272907733917236, -0.25973591208457947]","[0.5, 1.0, 1.5]","[10.149389266967773, 10.783924102783203, 11.418460845947266]",10.061291483896031,,
