sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5]","[9.739638328552246, 10.139097213745117, 10.538557052612305, 10.938016891479492, 11.33747673034668, 11.736936569213867, 12.136395454406738, 12.535855293273926, 12.935315132141113, 13.3347749710083, 13.734234809875488, 14.133694648742676, 14.533153533935547, 14.932613372802734, 15.332073211669922]",9.842053280651879,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[3.75, 4.0, 4.25, 4.5, 4.75, 5.0]","[15.731532096862793, 16.130992889404297, 16.530452728271484, 16.929912567138672, 17.32937240600586, 17.728832244873047]",9.399121455863803,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[5.25, 5.5]","[18.1282901763916, 18.527751922607422]",9.400907488587658,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[5.75, 6.0, 6.25]","[18.92721176147461, 19.326669692993164, 19.72612762451172]",9.341731844959519,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,[6.5],[20.125587463378906],9.338068931803875,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[6.75, 7.0]","[20.52505111694336, 20.924510955810547]",9.624948625152271,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,[7.25],[21.323970794677734],9.624254875904267,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,[7.5],[21.723426818847656],9.741017893297924,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.3807356357574463, 1.154492974281311, -0.03009846806526184, 1.4805370569229126, -0.11711102724075317, 0.31752073764801025, -0.46502625942230225, 1.7274731397628784, 0.61490398645401, -1.1090319156646729, -2.1249821186065674, 0.6358746886253357, -1.5235509872436523, -2.362894058227539, -0.584254264831543, 0.006195753812789917, 1.4561747312545776, -0.5744119882583618, 1.881545901298523, 0.5206828117370605, -0.9720813632011414, -1.3670543432235718, 0.5846239924430847, -0.7092467546463013, 0.36256512999534607, -1.610710859298706, 0.4746279716491699, -1.9254459142684937, 0.31137895584106445, 2.732009172439575, 0.5967257022857666, -1.0273141860961914, -0.7877429723739624, 0.5853753089904785, 1.7697926759719849, -1.0331388711929321, 0.47455576062202454, 0.32830101251602173, 0.3240635097026825, 1.4407923221588135, -0.8569508194923401, -0.44579842686653137, 0.8753605484962463, 0.3233632445335388, 0.45113274455070496, -1.4679369926452637, 2.3187689781188965, 0.8725680112838745, 0.38064056634902954, 0.08577713370323181, 3.0385220050811768, 0.4646564722061157, 0.6324334740638733, 0.3088999092578888, 1.4727840423583984, -0.2920196056365967, -0.5775269865989685, -0.7246375679969788, -0.5494376420974731, -1.5894075632095337, -1.0908945798873901, 1.418673038482666, -1.1039128303527832, 2.4343438148498535]","[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]","[9.380716323852539, 9.780176162719727, 10.179636001586914, 10.579095840454102, 10.978555679321289, 11.37801456451416, 11.777474403381348, 12.176934242248535]",9.825785085099387,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.3807356357574463, 1.154492974281311, -0.03009846806526184, 1.4805370569229126, -0.11711102724075317, 0.31752073764801025, -0.46502625942230225, 1.7274731397628784, 0.61490398645401, -1.1090319156646729, -2.1249821186065674, 0.6358746886253357, -1.5235509872436523, -2.362894058227539, -0.584254264831543, 0.006195753812789917, 1.4561747312545776, -0.5744119882583618, 1.881545901298523, 0.5206828117370605, -0.9720813632011414, -1.3670543432235718, 0.5846239924430847, -0.7092467546463013, 0.36256512999534607, -1.610710859298706, 0.4746279716491699, -1.9254459142684937, 0.31137895584106445, 2.732009172439575, 0.5967257022857666, -1.0273141860961914, -0.7877429723739624, 0.5853753089904785, 1.7697926759719849, -1.0331388711929321, 0.47455576062202454, 0.32830101251602173, 0.3240635097026825, 1.4407923221588135, -0.8569508194923401, -0.44579842686653137, 0.8753605484962463, 0.3233632445335388, 0.45113274455070496, -1.4679369926452637, 2.3187689781188965, 0.8725680112838745, 0.38064056634902954, 0.08577713370323181, 3.0385220050811768, 0.4646564722061157, 0.6324334740638733, 0.3088999092578888, 1.4727840423583984, -0.2920196056365967, -0.5775269865989685, -0.7246375679969788, -0.5494376420974731, -1.5894075632095337, -1.0908945798873901, 1.418673038482666, -1.1039128303527832, 2.4343438148498535]","[2.0, 2.25]","[12.576394081115723, 12.97585391998291]",9.854993473163695,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.3807356357574463, 1.154492974281311, -0.03009846806526184, 1.4805370569229126, -0.11711102724075317, 0.31752073764801025, -0.46502625942230225, 1.7274731397628784, 0.61490398645401, -1.1090319156646729, -2.1249821186065674, 0.6358746886253357, -1.5235509872436523, -2.362894058227539, -0.584254264831543, 0.006195753812789917, 1.4561747312545776, -0.5744119882583618, 1.881545901298523, 0.5206828117370605, -0.9720813632011414, -1.3670543432235718, 0.5846239924430847, -0.7092467546463013, 0.36256512999534607, -1.610710859298706, 0.4746279716491699, -1.9254459142684937, 0.31137895584106445, 2.732009172439575, 0.5967257022857666, -1.0273141860961914, -0.7877429723739624, 0.5853753089904785, 1.7697926759719849, -1.0331388711929321, 0.47455576062202454, 0.32830101251602173, 0.3240635097026825, 1.4407923221588135, -0.8569508194923401, -0.44579842686653137, 0.8753605484962463, 0.3233632445335388, 0.45113274455070496, -1.4679369926452637, 2.3187689781188965, 0.8725680112838745, 0.38064056634902954, 0.08577713370323181, 3.0385220050811768, 0.4646564722061157, 0.6324334740638733, 0.3088999092578888, 1.4727840423583984, -0.2920196056365967, -0.5775269865989685, -0.7246375679969788, -0.5494376420974731, -1.5894075632095337, -1.0908945798873901, 1.418673038482666, -1.1039128303527832, 2.4343438148498535]","[2.5, 2.75, 3.0]","[13.375313758850098, 13.774773597717285, 14.174232482910156]",9.8565891959887,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.3807356357574463, 1.154492974281311, -0.03009846806526184, 1.4805370569229126, -0.11711102724075317, 0.31752073764801025, -0.46502625942230225, 1.7274731397628784, 0.61490398645401, -1.1090319156646729, -2.1249821186065674, 0.6358746886253357, -1.5235509872436523, -2.362894058227539, -0.584254264831543, 0.006195753812789917, 1.4561747312545776, -0.5744119882583618, 1.881545901298523, 0.5206828117370605, -0.9720813632011414, -1.3670543432235718, 0.5846239924430847, -0.7092467546463013, 0.36256512999534607, -1.610710859298706, 0.4746279716491699, -1.9254459142684937, 0.31137895584106445, 2.732009172439575, 0.5967257022857666, -1.0273141860961914, -0.7877429723739624, 0.5853753089904785, 1.7697926759719849, -1.0331388711929321, 0.47455576062202454, 0.32830101251602173, 0.3240635097026825, 1.4407923221588135, -0.8569508194923401, -0.44579842686653137, 0.8753605484962463, 0.3233632445335388, 0.45113274455070496, -1.4679369926452637, 2.3187689781188965, 0.8725680112838745, 0.38064056634902954, 0.08577713370323181, 3.0385220050811768, 0.4646564722061157, 0.6324334740638733, 0.3088999092578888, 1.4727840423583984, -0.2920196056365967, -0.5775269865989685, -0.7246375679969788, -0.5494376420974731, -1.5894075632095337, -1.0908945798873901, 1.418673038482666, -1.1039128303527832, 2.4343438148498535]","[3.25, 3.5, 3.75, 4.0, 4.25, 4.5, 4.75]","[14.573691368103027, 14.973152160644531, 15.372611045837402, 15.77207088470459, 16.171531677246094, 16.57099151611328, 16.97045135498047]",10.636008704016877,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.3807356357574463, 1.154492974281311, -0.03009846806526184, 1.4805370569229126, -0.11711102724075317, 0.31752073764801025, -0.46502625942230225, 1.7274731397628784, 0.61490398645401, -1.1090319156646729, -2.1249821186065674, 0.6358746886253357, -1.5235509872436523, -2.362894058227539, -0.584254264831543, 0.006195753812789917, 1.4561747312545776, -0.5744119882583618, 1.881545901298523, 0.5206828117370605, -0.9720813632011414, -1.3670543432235718, 0.5846239924430847, -0.7092467546463013, 0.36256512999534607, -1.610710859298706, 0.4746279716491699, -1.9254459142684937, 0.31137895584106445, 2.732009172439575, 0.5967257022857666, -1.0273141860961914, -0.7877429723739624, 0.5853753089904785, 1.7697926759719849, -1.0331388711929321, 0.47455576062202454, 0.32830101251602173, 0.3240635097026825, 1.4407923221588135, -0.8569508194923401, -0.44579842686653137, 0.8753605484962463, 0.3233632445335388, 0.45113274455070496, -1.4679369926452637, 2.3187689781188965, 0.8725680112838745, 0.38064056634902954, 0.08577713370323181, 3.0385220050811768, 0.4646564722061157, 0.6324334740638733, 0.3088999092578888, 1.4727840423583984, -0.2920196056365967, -0.5775269865989685, -0.7246375679969788, -0.5494376420974731, -1.5894075632095337, -1.0908945798873901, 1.418673038482666, -1.1039128303527832, 2.4343438148498535]",[5.0],[17.369911193847656],9.39187598783555,,
