sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[0.0, 0.25, 0.5, 0.75]","[10.853574752807617, 11.347345352172852, 11.84111499786377, 12.334884643554688]",10.533182148569267,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25]","[12.828654289245605, 13.322423934936523, 13.816194534301758, 14.30996322631836, 14.803731918334961, 15.297502517700195, 15.79127311706543, 16.28504180908203, 16.778812408447266, 17.272581100463867]",10.546501921010854,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[3.5, 3.75, 4.0, 4.25, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0]","[17.7663516998291, 18.260120391845703, 18.753890991210938, 19.247661590576172, 19.741430282592773, 20.235200881958008, 20.72896957397461, 21.22273826599121, 21.716508865356445, 22.210277557373047, 22.70404815673828]",10.157783893865473,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,[6.25],[23.197818756103516],10.191452394354522,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[6.5, 6.75, 7.0, 7.25, 7.5]","[23.691587448120117, 24.18535614013672, 24.679126739501953, 25.172897338867188, 25.666667938232422]",10.376670331830342,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.0843753814697266, 1.5005993843078613, 0.234421968460083, 2.0661628246307373, -1.2647783756256104, 0.9635668992996216, 1.5483345985412598, 0.5804162621498108, -0.9014390707015991, -1.1309287548065186, -1.865823745727539, -1.4319961071014404, -1.1897459030151367, -1.5576905012130737, 1.1616809368133545, 1.147957444190979, 0.8968653678894043, 0.8652899861335754, 1.3078268766403198, 1.8445074558258057, 1.5509867668151855, 1.7400741577148438, -0.5022391080856323, -1.0842747688293457, -2.156602144241333, -0.9512270092964172, 2.7356371879577637, -0.7975440621376038, 0.19333599507808685, 2.700651168823242, -0.4882529377937317, 2.3421406745910645, -0.37320706248283386, -1.2217707633972168, -1.199689507484436, -1.4255739450454712, 1.8969002962112427, 0.725256621837616, 1.3343387842178345, 0.7202270030975342, -0.4418261647224426, 1.484497308731079, 0.8186864256858826, -1.4810634851455688, 1.7420079708099365, -0.5467095375061035, 2.8190033435821533, 0.6632933616638184, -0.6989665627479553, 0.8773461580276489, 1.5752495527267456, -0.03292638063430786, -0.3170808255672455, 0.7341128587722778, 1.5223901271820068, 0.41940778493881226, -0.23093855381011963, -1.9476796388626099, 1.913156509399414, 0.17549479007720947, 1.6277296543121338, -0.4484119117259979, 0.29457175731658936, 0.9411637187004089]","[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5]","[12.138715744018555, 12.632486343383789, 13.126255989074707, 13.620025634765625, 14.11379623413086, 14.607564926147461, 15.101335525512695, 15.595104217529297, 16.08887481689453, 16.582643508911133, 17.076412200927734]",10.570572329304573,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.0843753814697266, 1.5005993843078613, 0.234421968460083, 2.0661628246307373, -1.2647783756256104, 0.9635668992996216, 1.5483345985412598, 0.5804162621498108, -0.9014390707015991, -1.1309287548065186, -1.865823745727539, -1.4319961071014404, -1.1897459030151367, -1.5576905012130737, 1.1616809368133545, 1.147957444190979, 0.8968653678894043, 0.8652899861335754, 1.3078268766403198, 1.8445074558258057, 1.5509867668151855, 1.7400741577148438, -0.5022391080856323, -1.0842747688293457, -2.156602144241333, -0.9512270092964172, 2.7356371879577637, -0.7975440621376038, 0.19333599507808685, 2.700651168823242, -0.4882529377937317, 2.3421406745910645, -0.37320706248283386, -1.2217707633972168, -1.199689507484436, -1.4255739450454712, 1.8969002962112427, 0.725256621837616, 1.3343387842178345, 0.7202270030975342, -0.4418261647224426, 1.484497308731079, 0.8186864256858826, -1.4810634851455688, 1.7420079708099365, -0.5467095375061035, 2.8190033435821533, 0.6632933616638184, -0.6989665627479553, 0.8773461580276489, 1.5752495527267456, -0.03292638063430786, -0.3170808255672455, 0.7341128587722778, 1.5223901271820068, 0.41940778493881226, -0.23093855381011963, -1.9476796388626099, 1.913156509399414, 0.17549479007720947, 1.6277296543121338, -0.4484119117259979, 0.29457175731658936, 0.9411637187004089]","[2.75, 3.0, 3.25, 3.5, 3.75, 4.0, 4.25, 4.5, 4.75]","[17.57018280029297, 18.06395149230957, 18.557722091674805, 19.05149269104004, 19.545263290405273, 20.039031982421875, 20.53280258178711, 21.02657127380371, 21.520339965820312]",10.369563395911182,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.0843753814697266, 1.5005993843078613, 0.234421968460083, 2.0661628246307373, -1.2647783756256104, 0.9635668992996216, 1.5483345985412598, 0.5804162621498108, -0.9014390707015991, -1.1309287548065186, -1.865823745727539, -1.4319961071014404, -1.1897459030151367, -1.5576905012130737, 1.1616809368133545, 1.147957444190979, 0.8968653678894043, 0.8652899861335754, 1.3078268766403198, 1.8445074558258057, 1.5509867668151855, 1.7400741577148438, -0.5022391080856323, -1.0842747688293457, -2.156602144241333, -0.9512270092964172, 2.7356371879577637, -0.7975440621376038, 0.19333599507808685, 2.700651168823242, -0.4882529377937317, 2.3421406745910645, -0.37320706248283386, -1.2217707633972168, -1.199689507484436, -1.4255739450454712, 1.8969002962112427, 0.725256621837616, 1.3343387842178345, 0.7202270030975342, -0.4418261647224426, 1.484497308731079, 0.8186864256858826, -1.4810634851455688, 1.7420079708099365, -0.5467095375061035, 2.8190033435821533, 0.6632933616638184, -0.6989665627479553, 0.8773461580276489, 1.5752495527267456, -0.03292638063430786, -0.3170808255672455, 0.7341128587722778, 1.5223901271820068, 0.41940778493881226, -0.23093855381011963, -1.9476796388626099, 1.913156509399414, 0.17549479007720947, 1.6277296543121338, -0.4484119117259979, 0.29457175731658936, 0.9411637187004089]",[5.0],[22.014110565185547],10.13331971977397,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.0843753814697266, 1.5005993843078613, 0.234421968460083, 2.0661628246307373, -1.2647783756256104, 0.9635668992996216, 1.5483345985412598, 0.5804162621498108, -0.9014390707015991, -1.1309287548065186, -1.865823745727539, -1.4319961071014404, -1.1897459030151367, -1.5576905012130737, 1.1616809368133545, 1.147957444190979, 0.8968653678894043, 0.8652899861335754, 1.3078268766403198, 1.8445074558258057, 1.5509867668151855, 1.7400741577148438, -0.5022391080856323, -1.0842747688293457, -2.156602144241333, -0.9512270092964172, 2.7356371879577637, -0.7975440621376038, 0.19333599507808685, 2.700651168823242, -0.4882529377937317, 2.3421406745910645, -0.37320706248283386, -1.2217707633972168, -1.199689507484436, -1.4255739450454712, 1.8969002962112427, 0.725256621837616, 1.3343387842178345, 0.7202270030975342, -0.4418261647224426, 1.484497308731079, 0.8186864256858826, -1.4810634851455688, 1.7420079708099365, -0.5467095375061035, 2.8190033435821533, 0.6632933616638184, -0.6989665627479553, 0.8773461580276489, 1.5752495527267456, -0.03292638063430786, -0.3170808255672455, 0.7341128587722778, 1.5223901271820068, 0.41940778493881226, -0.23093855381011963, -1.9476796388626099, 1.913156509399414, 0.17549479007720947, 1.6277296543121338, -0.4484119117259979, 0.29457175731658936, 0.9411637187004089]","[5.25, 5.5]","[22.50788116455078, 23.001649856567383]",10.370349950778618,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.0843753814697266, 1.5005993843078613, 0.234421968460083, 2.0661628246307373, -1.2647783756256104, 0.9635668992996216, 1.5483345985412598, 0.5804162621498108, -0.9014390707015991, -1.1309287548065186, -1.865823745727539, -1.4319961071014404, -1.1897459030151367, -1.5576905012130737, 1.1616809368133545, 1.147957444190979, 0.8968653678894043, 0.8652899861335754, 1.3078268766403198, 1.8445074558258057, 1.5509867668151855, 1.7400741577148438, -0.5022391080856323, -1.0842747688293457, -2.156602144241333, -0.9512270092964172, 2.7356371879577637, -0.7975440621376038, 0.19333599507808685, 2.700651168823242, -0.4882529377937317, 2.3421406745910645, -0.37320706248283386, -1.2217707633972168, -1.199689507484436, -1.4255739450454712, 1.8969002962112427, 0.725256621837616, 1.3343387842178345, 0.7202270030975342, -0.4418261647224426, 1.484497308731079, 0.8186864256858826, -1.4810634851455688, 1.7420079708099365, -0.5467095375061035, 2.8190033435821533, 0.6632933616638184, -0.6989665627479553, 0.8773461580276489, 1.5752495527267456, -0.03292638063430786, -0.3170808255672455, 0.7341128587722778, 1.5223901271820068, 0.41940778493881226, -0.23093855381011963, -1.9476796388626099, 1.913156509399414, 0.17549479007720947, 1.6277296543121338, -0.4484119117259979, 0.29457175731658936, 0.9411637187004089]","[5.75, 6.0, 6.25]","[23.495418548583984, 23.98918914794922, 24.482959747314453]",10.273894464076058,,
