sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]","[9.843045234680176, 10.012962341308594, 10.182879447937012, 10.35279655456543, 10.522713661193848, 10.692630767822266, 10.862546920776367, 11.032464027404785]",10.527109564620176,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5, 3.75, 4.0, 4.25, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0]","[11.202381134033203, 11.372298240661621, 11.542215347290039, 11.71213150024414, 11.882049560546875, 12.051965713500977, 12.221883773803711, 12.391799926757812, 12.561716079711914, 12.731634140014648, 12.90155029296875, 13.071467399597168, 13.241384506225586, 13.41130256652832, 13.581218719482422, 13.751134872436523, 13.921052932739258, 14.09096908569336, 14.260886192321777, 14.430803298950195, 14.600719451904297]",10.359211102561108,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[7.25, 7.5]","[14.770637512207031, 14.940555572509766]",10.353947964669242,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.302992582321167, 0.2651779055595398, -0.4828677475452423, 1.8995280265808105, -0.262866735458374, -0.573371410369873, 0.2135777622461319, -0.22575849294662476, -0.9997154474258423, -0.8382712006568909, -4.549713134765625, -1.3554794788360596, -3.0333375930786133, -1.248735785484314, 0.7362911701202393, 1.800990343093872, 1.5566177368164062, 0.22608350217342377, 0.40316829085350037, 1.6750396490097046, -1.4890307188034058, 0.9906038045883179, -1.599103331565857, 0.90498948097229, 0.09509938955307007, -0.4317514896392822, 1.9232474565505981, -0.5125246047973633, -1.115964651107788, 3.0962166786193848, 0.05635172128677368, 2.005221366882324, -1.446985125541687, -1.9338823556900024, -0.23928400874137878, -0.049719810485839844, 0.715666651725769, 0.006925106048583984, 0.42024537920951843, -0.08701151609420776, -1.506443977355957, 2.3024489879608154, -0.2567219138145447, -3.670778274536133, 1.1384004354476929, -0.006403028964996338, 2.106740951538086, 0.9006525874137878, -0.013898134231567383, 1.101876974105835, 0.9290518760681152, 0.42190563678741455, 0.14476004242897034, -0.36060798168182373, 1.0387095212936401, -0.5299023985862732, 0.5506333112716675, 0.27487900853157043, 0.9235582947731018, -0.49762216210365295, 0.274273157119751, -0.08183843642473221, 0.880223274230957, 1.0159642696380615]","[0.0, 0.25]","[10.059826850891113, 10.229743957519531]",10.555408948744981,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.302992582321167, 0.2651779055595398, -0.4828677475452423, 1.8995280265808105, -0.262866735458374, -0.573371410369873, 0.2135777622461319, -0.22575849294662476, -0.9997154474258423, -0.8382712006568909, -4.549713134765625, -1.3554794788360596, -3.0333375930786133, -1.248735785484314, 0.7362911701202393, 1.800990343093872, 1.5566177368164062, 0.22608350217342377, 0.40316829085350037, 1.6750396490097046, -1.4890307188034058, 0.9906038045883179, -1.599103331565857, 0.90498948097229, 0.09509938955307007, -0.4317514896392822, 1.9232474565505981, -0.5125246047973633, -1.115964651107788, 3.0962166786193848, 0.05635172128677368, 2.005221366882324, -1.446985125541687, -1.9338823556900024, -0.23928400874137878, -0.049719810485839844, 0.715666651725769, 0.006925106048583984, 0.42024537920951843, -0.08701151609420776, -1.506443977355957, 2.3024489879608154, -0.2567219138145447, -3.670778274536133, 1.1384004354476929, -0.006403028964996338, 2.106740951538086, 0.9006525874137878, -0.013898134231567383, 1.101876974105835, 0.9290518760681152, 0.42190563678741455, 0.14476004242897034, -0.36060798168182373, 1.0387095212936401, -0.5299023985862732, 0.5506333112716675, 0.27487900853157043, 0.9235582947731018, -0.49762216210365295, 0.274273157119751, -0.08183843642473221, 0.880223274230957, 1.0159642696380615]","[0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0]","[10.399660110473633, 10.569578170776367, 10.739494323730469, 10.909411430358887, 11.079328536987305, 11.249245643615723, 11.41916275024414, 11.589078903198242, 11.758996963500977, 11.928913116455078, 12.098831176757812]",10.572677411654135,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.302992582321167, 0.2651779055595398, -0.4828677475452423, 1.8995280265808105, -0.262866735458374, -0.573371410369873, 0.2135777622461319, -0.22575849294662476, -0.9997154474258423, -0.8382712006568909, -4.549713134765625, -1.3554794788360596, -3.0333375930786133, -1.248735785484314, 0.7362911701202393, 1.800990343093872, 1.5566177368164062, 0.22608350217342377, 0.40316829085350037, 1.6750396490097046, -1.4890307188034058, 0.9906038045883179, -1.599103331565857, 0.90498948097229, 0.09509938955307007, -0.4317514896392822, 1.9232474565505981, -0.5125246047973633, -1.115964651107788, 3.0962166786193848, 0.05635172128677368, 2.005221366882324, -1.446985125541687, -1.9338823556900024, -0.23928400874137878, -0.049719810485839844, 0.715666651725769, 0.006925106048583984, 0.42024537920951843, -0.08701151609420776, -1.506443977355957, 2.3024489879608154, -0.2567219138145447, -3.670778274536133, 1.1384004354476929, -0.006403028964996338, 2.106740951538086, 0.9006525874137878, -0.013898134231567383, 1.101876974105835, 0.9290518760681152, 0.42190563678741455, 0.14476004242897034, -0.36060798168182373, 1.0387095212936401, -0.5299023985862732, 0.5506333112716675, 0.27487900853157043, 0.9235582947731018, -0.49762216210365295, 0.274273157119751, -0.08183843642473221, 0.880223274230957, 1.0159642696380615]","[3.25, 3.5, 3.75, 4.0]","[12.268747329711914, 12.438663482666016, 12.60858154296875, 12.778497695922852]",10.61024373855966,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.302992582321167, 0.2651779055595398, -0.4828677475452423, 1.8995280265808105, -0.262866735458374, -0.573371410369873, 0.2135777622461319, -0.22575849294662476, -0.9997154474258423, -0.8382712006568909, -4.549713134765625, -1.3554794788360596, -3.0333375930786133, -1.248735785484314, 0.7362911701202393, 1.800990343093872, 1.5566177368164062, 0.22608350217342377, 0.40316829085350037, 1.6750396490097046, -1.4890307188034058, 0.9906038045883179, -1.599103331565857, 0.90498948097229, 0.09509938955307007, -0.4317514896392822, 1.9232474565505981, -0.5125246047973633, -1.115964651107788, 3.0962166786193848, 0.05635172128677368, 2.005221366882324, -1.446985125541687, -1.9338823556900024, -0.23928400874137878, -0.049719810485839844, 0.715666651725769, 0.006925106048583984, 0.42024537920951843, -0.08701151609420776, -1.506443977355957, 2.3024489879608154, -0.2567219138145447, -3.670778274536133, 1.1384004354476929, -0.006403028964996338, 2.106740951538086, 0.9006525874137878, -0.013898134231567383, 1.101876974105835, 0.9290518760681152, 0.42190563678741455, 0.14476004242897034, -0.36060798168182373, 1.0387095212936401, -0.5299023985862732, 0.5506333112716675, 0.27487900853157043, 0.9235582947731018, -0.49762216210365295, 0.274273157119751, -0.08183843642473221, 0.880223274230957, 1.0159642696380615]","[4.25, 4.5, 4.75, 5.0, 5.25, 5.5]","[12.948415756225586, 13.118331909179688, 13.288249015808105, 13.458166122436523, 13.628082275390625, 13.79800033569336]",10.609976778018872,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.302992582321167, 0.2651779055595398, -0.4828677475452423, 1.8995280265808105, -0.262866735458374, -0.573371410369873, 0.2135777622461319, -0.22575849294662476, -0.9997154474258423, -0.8382712006568909, -4.549713134765625, -1.3554794788360596, -3.0333375930786133, -1.248735785484314, 0.7362911701202393, 1.800990343093872, 1.5566177368164062, 0.22608350217342377, 0.40316829085350037, 1.6750396490097046, -1.4890307188034058, 0.9906038045883179, -1.599103331565857, 0.90498948097229, 0.09509938955307007, -0.4317514896392822, 1.9232474565505981, -0.5125246047973633, -1.115964651107788, 3.0962166786193848, 0.05635172128677368, 2.005221366882324, -1.446985125541687, -1.9338823556900024, -0.23928400874137878, -0.049719810485839844, 0.715666651725769, 0.006925106048583984, 0.42024537920951843, -0.08701151609420776, -1.506443977355957, 2.3024489879608154, -0.2567219138145447, -3.670778274536133, 1.1384004354476929, -0.006403028964996338, 2.106740951538086, 0.9006525874137878, -0.013898134231567383, 1.101876974105835, 0.9290518760681152, 0.42190563678741455, 0.14476004242897034, -0.36060798168182373, 1.0387095212936401, -0.5299023985862732, 0.5506333112716675, 0.27487900853157043, 0.9235582947731018, -0.49762216210365295, 0.274273157119751, -0.08183843642473221, 0.880223274230957, 1.0159642696380615]","[5.75, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25]","[13.967916488647461, 14.137834548950195, 14.307750701904297, 14.477666854858398, 14.647584915161133, 14.817501068115234, 14.987419128417969]",10.5370933347887,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.302992582321167, 0.2651779055595398, -0.4828677475452423, 1.8995280265808105, -0.262866735458374, -0.573371410369873, 0.2135777622461319, -0.22575849294662476, -0.9997154474258423, -0.8382712006568909, -4.549713134765625, -1.3554794788360596, -3.0333375930786133, -1.248735785484314, 0.7362911701202393, 1.800990343093872, 1.5566177368164062, 0.22608350217342377, 0.40316829085350037, 1.6750396490097046, -1.4890307188034058, 0.9906038045883179, -1.599103331565857, 0.90498948097229, 0.09509938955307007, -0.4317514896392822, 1.9232474565505981, -0.5125246047973633, -1.115964651107788, 3.0962166786193848, 0.05635172128677368, 2.005221366882324, -1.446985125541687, -1.9338823556900024, -0.23928400874137878, -0.049719810485839844, 0.715666651725769, 0.006925106048583984, 0.42024537920951843, -0.08701151609420776, -1.506443977355957, 2.3024489879608154, -0.2567219138145447, -3.670778274536133, 1.1384004354476929, -0.006403028964996338, 2.106740951538086, 0.9006525874137878, -0.013898134231567383, 1.101876974105835, 0.9290518760681152, 0.42190563678741455, 0.14476004242897034, -0.36060798168182373, 1.0387095212936401, -0.5299023985862732, 0.5506333112716675, 0.27487900853157043, 0.9235582947731018, -0.49762216210365295, 0.274273157119751, -0.08183843642473221, 0.880223274230957, 1.0159642696380615]",[7.5],[15.15733528137207],10.539786261725395,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[0.0, 0.25, 0.5, 0.75, 1.0]","[5.594393730163574, 5.764310836791992, 5.934227466583252, 6.10414457321167, 6.274061679840088]",8.585928240429881,,
