sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]","[9.773088455200195, 10.167437553405762, 10.561785697937012, 10.956134796142578, 11.350483894348145, 11.744832992553711, 12.139181137084961]",10.540525897230472,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[1.75, 2.0, 2.25, 2.5]","[12.533530235290527, 12.927879333496094, 13.322227478027344, 13.71657657623291]",10.574890494489948,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[2.75, 3.0, 3.25, 3.5, 3.75, 4.0, 4.25, 4.5]","[14.110925674438477, 14.505274772644043, 14.899622917175293, 15.29397201538086, 15.688321113586426, 16.082670211791992, 16.477018356323242, 16.871368408203125]",10.570697287072155,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25, 7.5]","[17.265716552734375, 17.660064697265625, 18.054412841796875, 18.448762893676758, 18.84311294555664, 19.23746109008789, 19.63180923461914, 20.02615737915039, 20.420507431030273, 20.814855575561523, 21.209205627441406, 21.603553771972656]",10.570404975301553,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.5689747333526611, 1.1860253810882568, -0.9565390348434448, 1.9101215600967407, -0.035367146134376526, -0.6334588527679443, -0.5645784139633179, 0.1670408397912979, 0.41768741607666016, 0.5074633359909058, -0.5881029367446899, -0.17873001098632812, 0.43205559253692627, 0.36194682121276855, 0.9938573241233826, 2.823427200317383, 1.2177278995513916, -0.508830726146698, -0.35869500041007996, -0.8216366767883301, -0.9772080183029175, -0.17465201020240784, -2.2617177963256836, -0.5951183438301086, 0.7683462500572205, 1.5105583667755127, 1.6553936004638672, -0.26175355911254883, -1.22585928440094, 2.457489490509033, -2.8540358543395996, -0.958545982837677, 0.523969292640686, -2.046269178390503, -0.31679853796958923, 0.8255369663238525, -0.8028709888458252, 0.41210123896598816, -0.5104140043258667, -1.0455164909362793, -0.35287928581237793, 0.850016176700592, -1.357030987739563, 0.7843234539031982, -1.8521223068237305, 1.5141428709030151, 0.7669706344604492, 1.4796329736709595, -1.2771350145339966, -0.757434606552124, 0.4371863007545471, -1.0957744121551514, -0.45845961570739746, 0.5210657715797424, 0.08915367722511292, -0.940739631652832, -2.7161526679992676, -0.24872279167175293, -0.21019825339317322, 0.1251930594444275, 0.0050560832023620605, -0.8241906762123108, 2.968597888946533, -0.21522581577301025]","[0.0, 0.25, 0.5, 0.75, 1.0, 1.25]","[9.0916166305542, 9.485965728759766, 9.880314826965332, 10.274663925170898, 10.669012069702148, 11.063361167907715]",10.393246147710661,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.5689747333526611, 1.1860253810882568, -0.9565390348434448, 1.9101215600967407, -0.035367146134376526, -0.6334588527679443, -0.5645784139633179, 0.1670408397912979, 0.41768741607666016, 0.5074633359909058, -0.5881029367446899, -0.17873001098632812, 0.43205559253692627, 0.36194682121276855, 0.9938573241233826, 2.823427200317383, 1.2177278995513916, -0.508830726146698, -0.35869500041007996, -0.8216366767883301, -0.9772080183029175, -0.17465201020240784, -2.2617177963256836, -0.5951183438301086, 0.7683462500572205, 1.5105583667755127, 1.6553936004638672, -0.26175355911254883, -1.22585928440094, 2.457489490509033, -2.8540358543395996, -0.958545982837677, 0.523969292640686, -2.046269178390503, -0.31679853796958923, 0.8255369663238525, -0.8028709888458252, 0.41210123896598816, -0.5104140043258667, -1.0455164909362793, -0.35287928581237793, 0.850016176700592, -1.357030987739563, 0.7843234539031982, -1.8521223068237305, 1.5141428709030151, 0.7669706344604492, 1.4796329736709595, -1.2771350145339966, -0.757434606552124, 0.4371863007545471, -1.0957744121551514, -0.45845961570739746, 0.5210657715797424, 0.08915367722511292, -0.940739631652832, -2.7161526679992676, -0.24872279167175293, -0.21019825339317322, 0.1251930594444275, 0.0050560832023620605, -0.8241906762123108, 2.968597888946533, -0.21522581577301025]",[1.5],[11.457710266113281],9.829064016835709,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.5689747333526611, 1.1860253810882568, -0.9565390348434448, 1.9101215600967407, -0.035367146134376526, -0.6334588527679443, -0.5645784139633179, 0.1670408397912979, 0.41768741607666016, 0.5074633359909058, -0.5881029367446899, -0.17873001098632812, 0.43205559253692627, 0.36194682121276855, 0.9938573241233826, 2.823427200317383, 1.2177278995513916, -0.508830726146698, -0.35869500041007996, -0.8216366767883301, -0.9772080183029175, -0.17465201020240784, -2.2617177963256836, -0.5951183438301086, 0.7683462500572205, 1.5105583667755127, 1.6553936004638672, -0.26175355911254883, -1.22585928440094, 2.457489490509033, -2.8540358543395996, -0.958545982837677, 0.523969292640686, -2.046269178390503, -0.31679853796958923, 0.8255369663238525, -0.8028709888458252, 0.41210123896598816, -0.5104140043258667, -1.0455164909362793, -0.35287928581237793, 0.850016176700592, -1.357030987739563, 0.7843234539031982, -1.8521223068237305, 1.5141428709030151, 0.7669706344604492, 1.4796329736709595, -1.2771350145339966, -0.757434606552124, 0.4371863007545471, -1.0957744121551514, -0.45845961570739746, 0.5210657715797424, 0.08915367722511292, -0.940739631652832, -2.7161526679992676, -0.24872279167175293, -0.21019825339317322, 0.1251930594444275, 0.0050560832023620605, -0.8241906762123108, 2.968597888946533, -0.21522581577301025]","[1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5, 3.75, 4.0]","[11.852058410644531, 12.246407508850098, 12.640756607055664, 13.03510570526123, 13.42945384979248, 13.823802947998047, 14.218151092529297, 14.612500190734863, 15.00684928894043, 15.401198387145996]",10.574257174029775,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.5689747333526611, 1.1860253810882568, -0.9565390348434448, 1.9101215600967407, -0.035367146134376526, -0.6334588527679443, -0.5645784139633179, 0.1670408397912979, 0.41768741607666016, 0.5074633359909058, -0.5881029367446899, -0.17873001098632812, 0.43205559253692627, 0.36194682121276855, 0.9938573241233826, 2.823427200317383, 1.2177278995513916, -0.508830726146698, -0.35869500041007996, -0.8216366767883301, -0.9772080183029175, -0.17465201020240784, -2.2617177963256836, -0.5951183438301086, 0.7683462500572205, 1.5105583667755127, 1.6553936004638672, -0.26175355911254883, -1.22585928440094, 2.457489490509033, -2.8540358543395996, -0.958545982837677, 0.523969292640686, -2.046269178390503, -0.31679853796958923, 0.8255369663238525, -0.8028709888458252, 0.41210123896598816, -0.5104140043258667, -1.0455164909362793, -0.35287928581237793, 0.850016176700592, -1.357030987739563, 0.7843234539031982, -1.8521223068237305, 1.5141428709030151, 0.7669706344604492, 1.4796329736709595, -1.2771350145339966, -0.757434606552124, 0.4371863007545471, -1.0957744121551514, -0.45845961570739746, 0.5210657715797424, 0.08915367722511292, -0.940739631652832, -2.7161526679992676, -0.24872279167175293, -0.21019825339317322, 0.1251930594444275, 0.0050560832023620605, -0.8241906762123108, 2.968597888946533, -0.21522581577301025]","[4.25, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25]","[15.795546531677246, 16.189895629882812, 16.584243774414062, 16.978593826293945, 17.372943878173828, 17.767292022705078, 18.161640167236328, 18.555988311767578, 18.950336456298828, 19.34468650817871, 19.739036560058594, 20.133384704589844, 20.527732849121094]",10.376293207326233,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[1.5689747333526611, 1.1860253810882568, -0.9565390348434448, 1.9101215600967407, -0.035367146134376526, -0.6334588527679443, -0.5645784139633179, 0.1670408397912979, 0.41768741607666016, 0.5074633359909058, -0.5881029367446899, -0.17873001098632812, 0.43205559253692627, 0.36194682121276855, 0.9938573241233826, 2.823427200317383, 1.2177278995513916, -0.508830726146698, -0.35869500041007996, -0.8216366767883301, -0.9772080183029175, -0.17465201020240784, -2.2617177963256836, -0.5951183438301086, 0.7683462500572205, 1.5105583667755127, 1.6553936004638672, -0.26175355911254883, -1.22585928440094, 2.457489490509033, -2.8540358543395996, -0.958545982837677, 0.523969292640686, -2.046269178390503, -0.31679853796958923, 0.8255369663238525, -0.8028709888458252, 0.41210123896598816, -0.5104140043258667, -1.0455164909362793, -0.35287928581237793, 0.850016176700592, -1.357030987739563, 0.7843234539031982, -1.8521223068237305, 1.5141428709030151, 0.7669706344604492, 1.4796329736709595, -1.2771350145339966, -0.757434606552124, 0.4371863007545471, -1.0957744121551514, -0.45845961570739746, 0.5210657715797424, 0.08915367722511292, -0.940739631652832, -2.7161526679992676, -0.24872279167175293, -0.21019825339317322, 0.1251930594444275, 0.0050560832023620605, -0.8241906762123108, 2.968597888946533, -0.21522581577301025]",[7.5],[20.922080993652344],10.373682327989469,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[0.0, 0.25]","[3.878730297088623, 4.2730793952941895]",8.785476343912585,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[0.5, 0.75]","[4.667428016662598, 5.061777114868164]",9.05474003227465,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[1.0, 1.25, 1.5, 1.75]","[5.456125736236572, 5.850474834442139, 6.244823455810547, 6.639172554016113]",7.922751261499497,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,[2.0],[7.0335211753845215],8.690021982869304,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[2.25, 2.5, 2.75, 3.0]","[7.42786979675293, 7.822218894958496, 8.216567993164062, 8.610916137695312]",9.080560237070989,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[3.25, 3.5, 3.75, 4.0]","[9.005265235900879, 9.399614334106445, 9.793962478637695, 10.188311576843262]",8.738031052793836,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[4.25, 4.5, 4.75]","[10.582660675048828, 10.977008819580078, 11.371357917785645]",8.9295831567588,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[5.0, 5.25]","[11.765707015991211, 12.160056114196777]",8.65491303558234,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0, 7.25, 7.5]","[12.554405212402344, 12.948753356933594, 13.34310245513916, 13.737451553344727, 14.131799697875977, 14.526148796081543, 14.92049789428711, 15.314846992492676, 15.709196090698242]",8.418582612019765,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,2,,,"[0.0, 0.25]","[7.215446949005127, 7.609795570373535]",7.418332049379541,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,2,,,[0.5],[8.004144668579102],9.330353146919283,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,2,,,"[0.75, 1.0, 1.25]","[8.398492813110352, 8.792841911315918, 9.187191009521484]",9.741454022653073,,
