sample_id,best_cost,random,seed,encode_deterministic,encoded_z,alpha,pred_cost,mean_cost,true_mean_cost,latent_gradient
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25]","[10.570439338684082, 11.278703689575195, 11.986967086791992, 12.695231437683105, 13.403495788574219, 14.111759185791016, 14.820024490356445, 15.528287887573242, 16.23655128479004, 16.94481658935547, 17.653079986572266, 18.361345291137695, 19.069608688354492, 19.77787208557129]",10.196025722726016,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[3.5, 3.75, 4.0, 4.25, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0]","[20.486135482788086, 21.194400787353516, 21.902666091918945, 22.610929489135742, 23.319190979003906, 24.02745819091797, 24.735721588134766, 25.443984985351562, 26.15224838256836, 26.860511779785156, 27.56877899169922]",10.390052034868035,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,"[6.25, 6.5, 6.75, 7.0, 7.25]","[28.277042388916016, 28.985305786132812, 29.69356918334961, 30.40183448791504, 31.11009979248047]",10.204988016678394,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,true,,[7.5],[31.818363189697266],10.051885738606181,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.5719190239906311, 1.0714287757873535, 0.3180004954338074, 2.08831787109375, 0.23580484092235565, -0.37489593029022217, 1.224065899848938, 1.1054258346557617, -1.698176383972168, -4.872098922729492, -0.05691802501678467, -2.0878617763519287, -0.2823345363140106, -2.225482702255249, 2.013759136199951, 2.8401618003845215, 1.8440145254135132, 0.9721672534942627, 1.5913406610488892, 0.37568795680999756, 1.0210927724838257, 1.3407615423202515, 0.48152828216552734, -1.7311965227127075, -0.5739169120788574, 1.1015477180480957, 2.4150519371032715, -1.6249912977218628, 1.5352797508239746, 2.8856136798858643, -0.6427037715911865, 0.3560241460800171, -2.0694580078125, 0.6690636873245239, -0.2306734323501587, -1.1027987003326416, 1.9966143369674683, 1.0532089471817017, 1.9236068725585938, 1.824531078338623, -0.5490182638168335, 1.5497058629989624, 0.14795924723148346, -0.5399292707443237, -0.5029385089874268, 0.7685827016830444, 1.3356491327285767, -0.0772387757897377, -4.642768383026123, 2.3351056575775146, 3.3035807609558105, -1.4295098781585693, -0.4882239103317261, 1.4084843397140503, 1.7628111839294434, 1.045465111732483, 0.008787006139755249, -2.0958714485168457, 0.9396319389343262, 1.098742961883545, 0.5660365223884583, -1.7227544784545898, 0.09313900768756866, 1.6800719499588013]","[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0]","[9.48587417602539, 10.19413948059082, 10.902402877807617, 11.61066722869873, 12.318929672241211, 13.02719497680664, 13.735458374023438, 14.443723678588867, 15.151987075805664]",10.165411892203297,10.513648669041254,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.5719190239906311, 1.0714287757873535, 0.3180004954338074, 2.08831787109375, 0.23580484092235565, -0.37489593029022217, 1.224065899848938, 1.1054258346557617, -1.698176383972168, -4.872098922729492, -0.05691802501678467, -2.0878617763519287, -0.2823345363140106, -2.225482702255249, 2.013759136199951, 2.8401618003845215, 1.8440145254135132, 0.9721672534942627, 1.5913406610488892, 0.37568795680999756, 1.0210927724838257, 1.3407615423202515, 0.48152828216552734, -1.7311965227127075, -0.5739169120788574, 1.1015477180480957, 2.4150519371032715, -1.6249912977218628, 1.5352797508239746, 2.8856136798858643, -0.6427037715911865, 0.3560241460800171, -2.0694580078125, 0.6690636873245239, -0.2306734323501587, -1.1027987003326416, 1.9966143369674683, 1.0532089471817017, 1.9236068725585938, 1.824531078338623, -0.5490182638168335, 1.5497058629989624, 0.14795924723148346, -0.5399292707443237, -0.5029385089874268, 0.7685827016830444, 1.3356491327285767, -0.0772387757897377, -4.642768383026123, 2.3351056575775146, 3.3035807609558105, -1.4295098781585693, -0.4882239103317261, 1.4084843397140503, 1.7628111839294434, 1.045465111732483, 0.008787006139755249, -2.0958714485168457, 0.9396319389343262, 1.098742961883545, 0.5660365223884583, -1.7227544784545898, 0.09313900768756866, 1.6800719499588013]","[2.25, 2.5, 2.75, 3.0]","[15.860250473022461, 16.56851577758789, 17.276779174804688, 17.985044479370117]",10.38759841395209,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.5719190239906311, 1.0714287757873535, 0.3180004954338074, 2.08831787109375, 0.23580484092235565, -0.37489593029022217, 1.224065899848938, 1.1054258346557617, -1.698176383972168, -4.872098922729492, -0.05691802501678467, -2.0878617763519287, -0.2823345363140106, -2.225482702255249, 2.013759136199951, 2.8401618003845215, 1.8440145254135132, 0.9721672534942627, 1.5913406610488892, 0.37568795680999756, 1.0210927724838257, 1.3407615423202515, 0.48152828216552734, -1.7311965227127075, -0.5739169120788574, 1.1015477180480957, 2.4150519371032715, -1.6249912977218628, 1.5352797508239746, 2.8856136798858643, -0.6427037715911865, 0.3560241460800171, -2.0694580078125, 0.6690636873245239, -0.2306734323501587, -1.1027987003326416, 1.9966143369674683, 1.0532089471817017, 1.9236068725585938, 1.824531078338623, -0.5490182638168335, 1.5497058629989624, 0.14795924723148346, -0.5399292707443237, -0.5029385089874268, 0.7685827016830444, 1.3356491327285767, -0.0772387757897377, -4.642768383026123, 2.3351056575775146, 3.3035807609558105, -1.4295098781585693, -0.4882239103317261, 1.4084843397140503, 1.7628111839294434, 1.045465111732483, 0.008787006139755249, -2.0958714485168457, 0.9396319389343262, 1.098742961883545, 0.5660365223884583, -1.7227544784545898, 0.09313900768756866, 1.6800719499588013]","[3.25, 3.5, 3.75, 4.0, 4.25, 4.5, 4.75, 5.0, 5.25, 5.5, 5.75, 6.0, 6.25, 6.5, 6.75, 7.0]","[18.693307876586914, 19.40157127380371, 20.10983657836914, 20.818099975585938, 21.526365280151367, 22.23462677001953, 22.942893981933594, 23.65115737915039, 24.359420776367188, 25.067684173583984, 25.77594757080078, 26.48421287536621, 27.19247817993164, 27.900741577148438, 28.609004974365234, 29.31726837158203]",10.205080360054477,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r467",true,,0,,"[0.5719190239906311, 1.0714287757873535, 0.3180004954338074, 2.08831787109375, 0.23580484092235565, -0.37489593029022217, 1.224065899848938, 1.1054258346557617, -1.698176383972168, -4.872098922729492, -0.05691802501678467, -2.0878617763519287, -0.2823345363140106, -2.225482702255249, 2.013759136199951, 2.8401618003845215, 1.8440145254135132, 0.9721672534942627, 1.5913406610488892, 0.37568795680999756, 1.0210927724838257, 1.3407615423202515, 0.48152828216552734, -1.7311965227127075, -0.5739169120788574, 1.1015477180480957, 2.4150519371032715, -1.6249912977218628, 1.5352797508239746, 2.8856136798858643, -0.6427037715911865, 0.3560241460800171, -2.0694580078125, 0.6690636873245239, -0.2306734323501587, -1.1027987003326416, 1.9966143369674683, 1.0532089471817017, 1.9236068725585938, 1.824531078338623, -0.5490182638168335, 1.5497058629989624, 0.14795924723148346, -0.5399292707443237, -0.5029385089874268, 0.7685827016830444, 1.3356491327285767, -0.0772387757897377, -4.642768383026123, 2.3351056575775146, 3.3035807609558105, -1.4295098781585693, -0.4882239103317261, 1.4084843397140503, 1.7628111839294434, 1.045465111732483, 0.008787006139755249, -2.0958714485168457, 0.9396319389343262, 1.098742961883545, 0.5660365223884583, -1.7227544784545898, 0.09313900768756866, 1.6800719499588013]","[7.25, 7.5]","[30.025535583496094, 30.73379898071289]",10.19995255165409,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,[0.0],[3.6050539016723633],5.9351679275751525,,
"cuda:[""3eda1939e30b947e921f5e1814346365"", [1, 56, 56, 128], [6, 6, 32, 128], [1, 56, 56, 32]]#s0::1490_([3eda1939e30b947e921f5e1814346365,[1,56,56,128],[6,6,32,128],[1,56,56,32]],cuda)::r0",,true,1,,,"[0.25, 0.5, 0.75]","[4.313318252563477, 5.021582126617432, 5.729846000671387]",5.437698377736694,,
